"","sp_id","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld","model"
"52",52,-0.22,0.39,-0.98,-0.23,0.56,-0.23,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"53",53,0.33,0.39,-0.46,0.33,1.1,0.33,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"54",54,-0.06,0.38,-0.82,-0.06,0.69,-0.06,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"55",55,-0.03,0.41,-0.84,-0.03,0.78,-0.03,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"56",56,0.57,0.41,-0.24,0.57,1.39,0.57,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"57",57,-0.9,0.42,-1.7,-0.91,-0.06,-0.93,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"58",58,-0.57,0.39,-1.33,-0.57,0.19,-0.57,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"59",59,0.49,0.39,-0.29,0.5,1.26,0.51,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"60",60,-0.24,0.4,-1.02,-0.24,0.54,-0.23,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"61",61,0.89,0.4,0.09,0.89,1.64,0.91,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"62",62,0.07,0.29,-0.51,0.07,0.64,0.07,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"63",63,-0.39,0.27,-0.91,-0.4,0.16,-0.41,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"64",64,-0.51,0.29,-1.07,-0.52,0.07,-0.53,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"65",65,-0.03,0.25,-0.52,-0.03,0.45,-0.02,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"66",66,0.27,0.31,-0.34,0.27,0.86,0.27,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"67",67,0.24,0.3,-0.36,0.24,0.83,0.24,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"68",68,0.18,0.29,-0.39,0.18,0.74,0.19,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"69",69,0.1,0.31,-0.51,0.1,0.7,0.1,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"70",70,-0.76,0.33,-1.39,-0.76,-0.09,-0.77,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"71",71,0.12,0.3,-0.48,0.13,0.72,0.13,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"72",72,0.29,0.31,-0.32,0.3,0.89,0.3,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"73",73,-0.12,0.3,-0.71,-0.12,0.48,-0.12,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"74",74,-0.23,0.3,-0.82,-0.23,0.38,-0.23,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"75",75,-0.27,0.3,-0.86,-0.27,0.33,-0.28,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"76",76,0.27,0.3,-0.33,0.27,0.86,0.28,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"77",77,0.51,0.31,-0.11,0.52,1.11,0.52,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"78",78,0.53,0.31,-0.09,0.54,1.12,0.55,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"79",79,0.12,0.3,-0.47,0.12,0.72,0.13,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"80",80,0.68,0.31,0.04,0.69,1.28,0.7,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"81",81,0.09,0.33,-0.56,0.09,0.73,0.1,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"82",82,0.22,0.29,-0.37,0.22,0.78,0.23,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"83",83,-0.15,0.31,-0.77,-0.16,0.47,-0.16,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"84",84,0.16,0.28,-0.39,0.16,0.69,0.17,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"85",85,0.46,0.31,-0.15,0.47,1.06,0.48,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"86",86,0.47,0.31,-0.16,0.47,1.06,0.48,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"87",87,0.52,0.32,-0.13,0.52,1.14,0.53,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"88",88,0.46,0.33,-0.21,0.47,1.1,0.48,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"89",89,-0.17,0.33,-0.82,-0.17,0.47,-0.17,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"90",90,0.45,0.35,-0.25,0.46,1.12,0.47,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"91",91,0.35,0.34,-0.33,0.36,1.01,0.37,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"92",92,-0.78,0.33,-1.41,-0.79,-0.13,-0.8,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"93",93,1.18,0.33,0.49,1.18,1.81,1.2,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"94",94,0.67,0.32,0.02,0.67,1.29,0.68,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"95",95,0.44,0.32,-0.2,0.44,1.06,0.44,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"96",96,0.73,0.32,0.08,0.73,1.35,0.74,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"97",97,0.59,0.32,-0.05,0.59,1.21,0.6,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"98",98,0.42,0.32,-0.21,0.42,1.04,0.42,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"99",99,0.49,0.32,-0.15,0.49,1.11,0.49,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"100",100,0.41,0.32,-0.22,0.41,1.03,0.42,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"101",101,0.6,0.32,-0.03,0.61,1.22,0.61,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"102",102,-1.26,0.33,-1.89,-1.27,-0.56,-1.29,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"103",103,0.29,0.32,-0.34,0.29,0.91,0.29,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"104",104,-2.21,0.38,-2.91,-2.23,-1.41,-2.27,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"105",105,-0.68,0.33,-1.32,-0.69,-0.02,-0.69,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"106",106,0.74,0.34,0.07,0.75,1.39,0.76,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"107",107,-0.94,0.47,-1.82,-0.96,0.02,-1,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"108",108,-0.22,0.46,-1.11,-0.23,0.7,-0.24,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"109",109,-0.21,0.44,-1.08,-0.22,0.67,-0.22,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"110",110,-0.31,0.4,-1.12,-0.3,0.45,-0.28,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"111",111,0.47,0.39,-0.29,0.46,1.25,0.46,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"112",112,0.81,0.35,0.12,0.82,1.49,0.83,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"113",113,-0.41,0.34,-1.08,-0.41,0.26,-0.41,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"114",114,-0.13,0.34,-0.8,-0.13,0.53,-0.13,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"115",115,0.19,0.34,-0.48,0.19,0.85,0.19,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"116",116,0.03,0.32,-0.59,0.04,0.66,0.04,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"117",117,-0.58,0.34,-1.24,-0.58,0.09,-0.58,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"118",118,0.46,0.33,-0.2,0.46,1.11,0.46,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"119",119,-0.35,0.46,-1.24,-0.35,0.59,-0.37,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"120",1,0.18,0.32,-0.47,0.18,0.79,0.2,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"121",2,0.52,0.33,-0.13,0.53,1.15,0.54,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"122",3,-0.25,0.32,-0.89,-0.25,0.38,-0.26,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"123",4,-0.53,0.33,-1.16,-0.53,0.12,-0.54,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"124",5,-1.06,0.34,-1.71,-1.06,-0.37,-1.07,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"125",6,-0.05,0.32,-0.69,-0.05,0.59,-0.05,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"126",7,0.13,0.33,-0.51,0.13,0.77,0.14,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"127",8,-0.13,0.32,-0.77,-0.13,0.5,-0.13,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"128",9,0.4,0.33,-0.27,0.4,1.04,0.4,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"129",10,-1.25,0.34,-1.91,-1.26,-0.55,-1.28,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"130",11,0.49,0.34,-0.19,0.49,1.14,0.5,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"131",12,0.27,0.33,-0.38,0.28,0.91,0.28,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"132",13,-0.18,0.33,-0.83,-0.18,0.46,-0.19,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"133",14,0.14,0.32,-0.5,0.14,0.78,0.14,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"134",15,0.86,0.31,0.23,0.87,1.45,0.88,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"135",16,0.4,0.21,-0.01,0.41,0.81,0.41,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"136",17,0.4,0.21,-0.02,0.4,0.8,0.4,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"137",18,-0.39,0.25,-0.87,-0.4,0.12,-0.41,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"138",19,-0.24,0.19,-0.62,-0.24,0.13,-0.24,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"139",20,-0.58,0.23,-1.02,-0.58,-0.12,-0.59,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"140",21,-0.46,0.21,-0.87,-0.46,-0.03,-0.46,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"141",22,-0.07,0.23,-0.52,-0.07,0.38,-0.08,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"142",23,-0.14,0.2,-0.54,-0.14,0.26,-0.14,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"143",24,0.13,0.22,-0.3,0.13,0.56,0.14,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"144",25,0.14,0.21,-0.28,0.14,0.55,0.14,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"145",26,0.4,0.2,-0.01,0.4,0.8,0.4,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"146",27,0.19,0.2,-0.22,0.19,0.58,0.19,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"147",28,0.25,0.2,-0.15,0.25,0.65,0.25,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"148",29,0.17,0.21,-0.25,0.17,0.59,0.17,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"149",30,-0.37,0.25,-0.86,-0.37,0.13,-0.37,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"150",31,-0.29,0.27,-0.83,-0.29,0.25,-0.29,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"151",32,-0.25,0.22,-0.69,-0.25,0.19,-0.25,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"152",33,-0.03,0.22,-0.47,-0.03,0.4,-0.02,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"153",34,0.07,0.23,-0.39,0.08,0.51,0.08,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"154",35,-0.63,0.27,-1.15,-0.64,-0.07,-0.65,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"155",36,-0.5,0.24,-0.97,-0.5,-0.01,-0.5,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"156",37,-0.23,0.3,-0.82,-0.23,0.36,-0.23,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"157",38,-0.8,0.3,-1.37,-0.81,-0.18,-0.83,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"158",39,-0.42,0.2,-0.8,-0.42,-0.02,-0.43,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"159",40,-0.16,0.22,-0.59,-0.16,0.27,-0.16,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"160",41,0.38,0.31,-0.23,0.39,0.98,0.39,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"161",42,0.52,0.3,-0.09,0.53,1.1,0.54,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"162",43,-0.12,0.3,-0.7,-0.12,0.47,-0.13,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"163",44,-0.21,0.26,-0.73,-0.21,0.31,-0.21,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"164",45,0.57,0.3,-0.03,0.57,1.14,0.58,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"165",46,-0.81,0.32,-1.42,-0.82,-0.16,-0.83,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"166",47,-1.45,0.41,-2.23,-1.46,-0.63,-1.47,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"167",48,0.6,0.37,-0.12,0.6,1.32,0.6,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"168",49,0.07,0.37,-0.65,0.07,0.81,0.07,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"169",50,-0.11,0.39,-0.88,-0.12,0.67,-0.12,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"170",51,-0.22,0.4,-0.99,-0.23,0.57,-0.24,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"171",52,-0.22,0.39,-0.98,-0.22,0.56,-0.23,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"172",53,0.34,0.39,-0.45,0.34,1.11,0.34,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"173",54,-0.06,0.38,-0.82,-0.06,0.69,-0.06,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"174",55,-0.03,0.41,-0.83,-0.03,0.78,-0.03,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"175",56,0.56,0.41,-0.25,0.56,1.38,0.56,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"176",57,-0.91,0.42,-1.7,-0.91,-0.06,-0.93,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"177",58,-0.57,0.39,-1.34,-0.57,0.19,-0.57,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"178",59,0.49,0.39,-0.3,0.49,1.25,0.5,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"179",60,-0.25,0.4,-1.03,-0.25,0.53,-0.24,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"180",61,0.88,0.4,0.09,0.89,1.64,0.91,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"181",62,0.07,0.29,-0.51,0.07,0.65,0.07,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"182",63,-0.39,0.27,-0.91,-0.4,0.15,-0.41,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"183",64,-0.51,0.29,-1.06,-0.52,0.07,-0.53,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"184",65,-0.03,0.25,-0.52,-0.03,0.44,-0.03,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"185",66,0.28,0.31,-0.33,0.28,0.87,0.28,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"186",67,0.25,0.3,-0.35,0.25,0.83,0.25,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"187",68,0.18,0.29,-0.39,0.18,0.73,0.18,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"188",69,0.1,0.31,-0.51,0.11,0.71,0.11,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"189",70,-0.77,0.33,-1.41,-0.77,-0.1,-0.78,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"190",71,0.12,0.3,-0.48,0.13,0.72,0.13,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"191",72,0.29,0.31,-0.32,0.3,0.9,0.3,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"192",73,-0.12,0.3,-0.72,-0.12,0.48,-0.12,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"193",74,-0.22,0.3,-0.82,-0.22,0.38,-0.23,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"194",75,-0.27,0.3,-0.86,-0.28,0.33,-0.28,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"195",76,0.27,0.3,-0.33,0.27,0.86,0.28,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"196",77,0.52,0.31,-0.11,0.52,1.12,0.53,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"197",78,0.54,0.31,-0.08,0.55,1.13,0.55,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"198",79,0.12,0.3,-0.47,0.13,0.72,0.13,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"199",80,0.68,0.31,0.05,0.69,1.28,0.7,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"200",81,0.09,0.33,-0.56,0.1,0.73,0.1,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"201",82,0.21,0.29,-0.37,0.22,0.78,0.23,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"202",83,-0.16,0.31,-0.77,-0.16,0.46,-0.16,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"203",84,0.16,0.28,-0.39,0.16,0.69,0.17,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"204",85,0.47,0.31,-0.14,0.47,1.06,0.48,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"205",86,0.47,0.31,-0.15,0.47,1.07,0.48,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"206",87,0.52,0.32,-0.13,0.52,1.14,0.53,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"207",88,0.47,0.33,-0.2,0.47,1.11,0.48,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"208",89,-0.18,0.33,-0.83,-0.18,0.47,-0.18,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"209",90,0.46,0.35,-0.24,0.47,1.13,0.48,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"210",91,0.35,0.34,-0.33,0.36,1.01,0.37,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"211",92,-0.78,0.33,-1.41,-0.79,-0.13,-0.8,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"212",93,1.18,0.33,0.5,1.19,1.81,1.21,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"213",94,0.67,0.32,0.02,0.67,1.29,0.68,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"214",95,0.44,0.32,-0.2,0.44,1.06,0.45,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"215",96,0.73,0.32,0.08,0.73,1.35,0.74,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"216",97,0.59,0.32,-0.05,0.6,1.21,0.6,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"217",98,0.42,0.32,-0.21,0.42,1.04,0.43,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"218",99,0.49,0.32,-0.14,0.49,1.11,0.5,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"219",100,0.41,0.32,-0.22,0.41,1.03,0.42,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"220",101,0.61,0.32,-0.03,0.61,1.22,0.62,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"221",102,-1.26,0.33,-1.89,-1.27,-0.57,-1.29,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
