"","model","response","effect","2.5%","50%","97.5%","WAIC"
"53","Phylogenetic+Spatial: local+L2 proportion (nonlinear)","boundness","spatial SD",0.28,0.35,0.42,1812.11
"54","Phylogenetic+Spatial: local+L2 proportion (nonlinear)","boundness","Intercept",-0.11,0.04,0.19,1812.11
"55","Phylogenetic+Spatial: local+L2 proportion (nonlinear)","boundness","social SD:
L2 proportion",0,0.01,0.03,1812.11
"56","Phylogenetic+Spatial: local+L2 proportion (linear)","boundness","phylogenetic SD",1.49,1.72,2,1812.45
"57","Phylogenetic+Spatial: local+L2 proportion (linear)","boundness","spatial SD",0.28,0.35,0.42,1812.45
"58","Phylogenetic+Spatial: local+L2 proportion (linear)","boundness","Intercept",-0.02,0.01,0.03,1812.45
"59","Phylogenetic+Spatial: local+L2 proportion (linear)","boundness","L2 proportion",-0.28,0.08,0.44,1812.45
"60","L1 speakers (nonlinear)","boundness","Intercept",0.1,0.18,0.27,3544.92
"61","L1 speakers (nonlinear)","boundness","social SD:
L1",0.02,0.13,0.57,3544.92
"62","L1 speakers (nonlinear)+L2 proportion (nonlinear)","boundness","Intercept",0.06,0.32,0.59,3545.4
"63","L1 speakers (nonlinear)+L2 proportion (nonlinear)","boundness","social SD:
L1",0.04,0.07,0.15,3545.4
"64","L1 speakers (nonlinear)+L2 proportion (nonlinear)","boundness","social SD:
L2 proportion",0.04,0.08,0.16,3545.4
"65","Education","boundness","Intercept",-0.08,-0.03,0.03,3564
"66","Education","boundness","Education",0.27,0.47,0.67,3564
"67","Official","boundness","Intercept",-0.07,-0.02,0.04,3567.08
"68","Official","boundness","Official status",0.27,0.51,0.75,3567.08
"69","L1_log10:L2 proportion (linear)","boundness","Intercept",-0.06,-0.01,0.05,3577
"70","L1_log10:L2 proportion (linear)","boundness","L1*L2 proportion",0.05,0.17,0.29,3577
"71","L2 proportion (nonlinear)","boundness","Intercept",0.02,0.28,0.55,3580.01
"72","L2 proportion (nonlinear)","boundness","social SD:
L2 proportion",0,0.01,0.03,3580.01
"73","L2 proportion (linear)","boundness","Intercept",-0.06,0,0.05,3581.06
"74","L2 proportion (linear)","boundness","L2 proportion",0.04,0.67,1.3,3581.06
"75","L1 speakers (linear)+L2 proportion (linear)","boundness","Intercept",-0.07,-0.01,0.05,3581.17
"76","L1 speakers (linear)+L2 proportion (linear)","boundness","L1",-0.02,0.04,0.11,3581.17
"77","L1 speakers (linear)+L2 proportion (linear)","boundness","L2 proportion",-0.04,0.6,1.24,3581.17
"78","L1 speakers (linear)","boundness","Intercept",-0.06,0,0.05,3582.11
"79","L1 speakers (linear)","boundness","L1",-0.01,0.05,0.11,3582.11
"80","Neighbours","boundness","Intercept",-0.04,0.01,0.07,3585.01
"81","Neighbours","boundness","Neighbours",-0.06,-0.01,0.03,3585.01
"82","Phylogenetic+Spatial: local","informativity","phylogenetic SD",0.86,1.17,1.54,3046.22
"83","Phylogenetic+Spatial: local","informativity","spatial SD",0.37,0.45,0.55,3046.22
"84","Phylogenetic+Spatial: local","informativity","Intercept",0,0.04,0.08,3046.22
"85","Phylogenetic","informativity","phylogenetic SD",1.49,1.8,2.13,3104.09
"86","Phylogenetic","informativity","Intercept",0,0.04,0.08,3104.09
"87","Phylogenetic+Areal","informativity","phylogenetic SD",1.31,1.65,2.03,3125.47
"88","Phylogenetic+Areal","informativity","areal SD",0.06,0.14,0.29,3125.47
"89","Phylogenetic+Areal","informativity","Intercept",-0.03,0.06,0.17,3125.47
"90","Phylogenetic+Spatial: regional","informativity","phylogenetic SD",0.68,1.01,1.44,3130.62
"91","Phylogenetic+Spatial: regional","informativity","spatial SD",0.47,0.62,0.84,3130.62
"92","Phylogenetic+Spatial: regional","informativity","Intercept",0,0.04,0.08,3130.62
"93","Spatial: local","informativity","spatial SD",0.58,0.65,0.72,3199.98
"94","Spatial: local","informativity","Intercept",0,0.04,0.08,3199.98
"95","Spatial: regional","informativity","spatial SD",0.55,0.72,0.9,3219.54
"96","Spatial: regional","informativity","Intercept",-0.01,0.04,0.09,3219.54
"97","Areal","informativity","areal SD",0.31,0.43,0.6,3345.6
"98","Areal","informativity","Intercept",0.01,0.2,0.38,3345.6
"99","Phylogenetic+Spatial: local+L1 speakers (linear)","informativity","phylogenetic SD",0.94,1.25,1.62,3028.53
"100","Phylogenetic+Spatial: local+L1 speakers (linear)","informativity","spatial SD",0.37,0.44,0.54,3028.53
"101","Phylogenetic+Spatial: local+L1 speakers (linear)","informativity","Intercept",-0.03,0.01,0.05,3028.53
"102","Phylogenetic+Spatial: local+L1 speakers (linear)","informativity","L1",0.03,0.1,0.18,3028.53
"103","Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)","informativity","phylogenetic SD",0.94,1.25,1.62,3030.18
"104","Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)","informativity","spatial SD",0.37,0.44,0.54,3030.18
"105","Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)","informativity","Intercept",-0.03,0.01,0.06,3030.18
"106","Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)","informativity","L1",0.03,0.1,0.18,3030.18
"107","Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)","informativity","L2 proportion",-0.63,-0.09,0.44,3030.18
"108","Phylogenetic+Spatial: local+L1 speakers (nonlinear)","informativity","phylogenetic SD",0.93,1.24,1.61,3031.57
"109","Phylogenetic+Spatial: local+L1 speakers (nonlinear)","informativity","spatial SD",0.37,0.44,0.54,3031.57
"110","Phylogenetic+Spatial: local+L1 speakers (nonlinear)","informativity","Intercept",0,0.04,0.09,3031.57
"111","Phylogenetic+Spatial: local+L1 speakers (nonlinear)","informativity","social SD:
L1",0,0.01,0.03,3031.57
"112","Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)","informativity","phylogenetic SD",0.93,1.24,1.62,3032.08
"113","Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)","informativity","spatial SD",0.37,0.45,0.54,3032.08
"114","Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)","informativity","Intercept",-0.22,0,0.23,3032.08
"115","Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)","informativity","social SD:
L1",0,0.01,0.03,3032.08
"116","Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)","informativity","social SD:
L2 proportion",0,0.01,0.03,3032.08
"117","Phylogenetic+Spatial: local+Neighbours","informativity","phylogenetic SD",0.86,1.18,1.54,3047.04
"118","Phylogenetic+Spatial: local+Neighbours","informativity","spatial SD",0.37,0.45,0.55,3047.04
"119","Phylogenetic+Spatial: local+Neighbours","informativity","Intercept",0,0.04,0.08,3047.04
"120","Phylogenetic+Spatial: local+Neighbours","informativity","Neighbours",-0.04,0.01,0.05,3047.04
"121","Phylogenetic+Spatial: local+L2 proportion (nonlinear)","informativity","phylogenetic SD",0.86,1.17,1.54,3047.22
"122","Phylogenetic+Spatial: local+L2 proportion (nonlinear)","informativity","spatial SD",0.37,0.45,0.55,3047.22
"123","Phylogenetic+Spatial: local+L2 proportion (nonlinear)","informativity","Intercept",-0.19,0.03,0.25,3047.22
"124","Phylogenetic+Spatial: local+L2 proportion (nonlinear)","informativity","social SD:
L2 proportion",0,0.01,0.04,3047.22
"125","Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)","informativity","phylogenetic SD",0.86,1.16,1.54,3048.39
"126","Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)","informativity","spatial SD",0.38,0.46,0.55,3048.39
"127","Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)","informativity","Intercept",0,0.04,0.08,3048.39
"128","Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)","informativity","L1*L2 proportion",-0.08,0.03,0.13,3048.39
"129","Phylogenetic+Spatial: local+L2 proportion (linear)","informativity","phylogenetic SD",0.86,1.17,1.53,3048.41
"130","Phylogenetic+Spatial: local+L2 proportion (linear)","informativity","spatial SD",0.37,0.45,0.55,3048.41
"131","Phylogenetic+Spatial: local+L2 proportion (linear)","informativity","Intercept",0,0.04,0.08,3048.41
"132","Phylogenetic+Spatial: local+L2 proportion (linear)","informativity","L2 proportion",-0.55,-0.01,0.52,3048.41
"133","Phylogenetic+Spatial: local+Education","informativity","phylogenetic SD",0.84,1.16,1.52,3049.11
"134","Phylogenetic+Spatial: local+Education","informativity","spatial SD",0.37,0.45,0.55,3049.11
"135","Phylogenetic+Spatial: local+Education","informativity","Intercept",-0.01,0.03,0.07,3049.11
"136","Phylogenetic+Spatial: local+Education","informativity","Education",-0.05,0.16,0.36,3049.11
"137","Phylogenetic+Spatial: local+Official","informativity","phylogenetic SD",0.82,1.13,1.5,3050.59
"138","Phylogenetic+Spatial: local+Official","informativity","spatial SD",0.38,0.46,0.55,3050.59
"139","Phylogenetic+Spatial: local+Official","informativity","Intercept",-0.01,0.03,0.07,3050.59
"140","Phylogenetic+Spatial: local+Official","informativity","Official status",-0.05,0.19,0.43,3050.59
"141","Official","informativity","Intercept",-0.04,0.02,0.08,3558.78
"142","Official","informativity","Official status",0.13,0.37,0.61,3558.78
"143","Education","informativity","Intercept",-0.04,0.02,0.07,3559.56
"144","Education","informativity","Education",0.1,0.3,0.5,3559.56
"145","Neighbours","informativity","Intercept",-0.01,0.05,0.1,3562.17
"146","Neighbours","informativity","Neighbours",-0.1,-0.06,-0.01,3562.17
"147","L1 speakers (nonlinear)","informativity","Intercept",-0.01,0.05,0.13,3565.31
"148","L1 speakers (nonlinear)","informativity","social SD:
L1",0,0.01,0.05,3565.31
"149","L1 speakers (linear)","informativity","Intercept",-0.01,0.05,0.11,3566.8
"150","L1 speakers (linear)","informativity","L1",-0.09,-0.03,0.03,3566.8
"151","L1_log10:L2 proportion (linear)","informativity","Intercept",-0.02,0.03,0.09,3567.12
"152","L1_log10:L2 proportion (linear)","informativity","L1*L2 proportion",-0.06,0.06,0.18,3567.12
"153","L1 speakers (nonlinear)+L2 proportion (nonlinear)","informativity","Intercept",-0.15,0.12,0.39,3567.35
"154","L1 speakers (nonlinear)+L2 proportion (nonlinear)","informativity","social SD:
L1",0,0.01,0.08,3567.35
"155","L1 speakers (nonlinear)+L2 proportion (nonlinear)","informativity","social SD:
L2 proportion",0,0.01,0.03,3567.35
"156","L2 proportion (nonlinear)","informativity","Intercept",-0.17,0.09,0.36,3567.74
"157","L2 proportion (nonlinear)","informativity","social SD:
L2 proportion",0,0.01,0.03,3567.74
"158","L2 proportion (linear)","informativity","Intercept",-0.02,0.04,0.09,3568.13
"159","L2 proportion (linear)","informativity","L2 proportion",-0.49,0.14,0.77,3568.13
"160","L1 speakers (linear)+L2 proportion (linear)","informativity","Intercept",-0.01,0.05,0.1,3568.86
"161","L1 speakers (linear)+L2 proportion (linear)","informativity","L1",-0.1,-0.04,0.03,3568.86
"162","L1 speakers (linear)+L2 proportion (linear)","informativity","L2 proportion",-0.44,0.2,0.83,3568.86
