"","mean","sd","0.025quant","0.5quant","0.975quant","mode","model"
"fitted.Predictor.0022...22",-0.28,0.26,-0.8,-0.28,0.23,-0.28,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0023...23",-0.28,0.27,-0.8,-0.28,0.25,-0.28,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0024...24",-0.23,0.21,-0.64,-0.23,0.17,-0.23,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0025...25",-0.19,0.21,-0.6,-0.19,0.21,-0.19,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0026...26",-0.26,0.21,-0.67,-0.26,0.15,-0.26,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0027...27",-0.5,0.24,-0.97,-0.5,-0.03,-0.5,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0028...28",-0.59,0.22,-1.01,-0.59,-0.16,-0.59,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0029...29",-0.55,0.22,-0.98,-0.55,-0.12,-0.55,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0030...30",-0.61,0.23,-1.06,-0.61,-0.16,-0.61,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0031...31",-0.27,0.25,-0.76,-0.27,0.22,-0.27,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0032...32",-0.28,0.26,-0.78,-0.28,0.23,-0.28,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0033...33",0.09,0.27,-0.43,0.09,0.62,0.09,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0034...34",-0.28,0.27,-0.8,-0.28,0.24,-0.28,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0035...35",-0.64,0.27,-1.16,-0.64,-0.12,-0.64,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0036...36",-0.58,0.24,-1.05,-0.58,-0.11,-0.58,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0037...37",-0.62,0.24,-1.1,-0.62,-0.15,-0.62,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0038...38",-0.44,0.25,-0.93,-0.44,0.05,-0.44,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0039...39",-0.2,0.24,-0.67,-0.2,0.28,-0.2,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0040...40",-0.18,0.24,-0.65,-0.18,0.3,-0.18,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0041...41",-0.87,0.25,-1.35,-0.87,-0.38,-0.87,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0042...42",-0.82,0.25,-1.3,-0.82,-0.34,-0.82,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0043...43",-0.86,0.25,-1.36,-0.86,-0.37,-0.86,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0044...44",-0.81,0.27,-1.33,-0.81,-0.28,-0.81,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0045...45",-0.47,0.23,-0.93,-0.47,-0.01,-0.47,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0046...46",-0.59,0.24,-1.06,-0.59,-0.11,-0.59,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0047...47",-0.51,0.25,-1.01,-0.51,-0.01,-0.51,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0048...48",-0.64,0.25,-1.14,-0.64,-0.14,-0.64,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0049...49",-0.3,0.27,-0.84,-0.3,0.24,-0.3,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0050...50",-0.95,0.25,-1.44,-0.95,-0.46,-0.95,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0051...51",-0.93,0.24,-1.4,-0.93,-0.45,-0.93,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0052...52",-1.06,0.25,-1.56,-1.06,-0.56,-1.06,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0053...53",-1.23,0.24,-1.7,-1.23,-0.75,-1.23,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0054...54",-1.23,0.25,-1.71,-1.23,-0.75,-1.23,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0055...55",-0.73,0.26,-1.24,-0.73,-0.22,-0.73,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0056...56",-0.73,0.25,-1.23,-0.73,-0.23,-0.73,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0057...57",-0.31,0.25,-0.8,-0.31,0.19,-0.31,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0058...58",-0.77,0.26,-1.27,-0.77,-0.26,-0.77,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0059...59",-0.51,0.24,-0.98,-0.51,-0.05,-0.51,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0060...60",-0.42,0.24,-0.89,-0.42,0.04,-0.42,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0061...61",-0.69,0.24,-1.16,-0.69,-0.22,-0.69,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0062...62",-0.43,0.24,-0.9,-0.43,0.04,-0.43,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0063...63",-0.46,0.23,-0.92,-0.46,-0.01,-0.46,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0064...64",-0.47,0.23,-0.93,-0.47,-0.01,-0.47,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0065...65",-0.44,0.23,-0.9,-0.44,0.01,-0.44,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0066...66",-0.57,0.24,-1.05,-0.57,-0.1,-0.57,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0067...67",-0.49,0.24,-0.97,-0.49,-0.01,-0.49,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0068...68",-0.44,0.25,-0.93,-0.44,0.06,-0.44,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0069...69",-0.32,0.28,-0.88,-0.32,0.24,-0.32,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0070...70",-0.16,0.28,-0.7,-0.16,0.39,-0.16,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0071...71",-1.04,0.22,-1.48,-1.04,-0.6,-1.04,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0072...72",-0.96,0.21,-1.37,-0.96,-0.54,-0.96,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0073...73",-0.94,0.22,-1.38,-0.94,-0.51,-0.94,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0074...74",-0.77,0.23,-1.22,-0.77,-0.33,-0.77,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0075...75",-0.9,0.22,-1.34,-0.9,-0.47,-0.9,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0076...76",-0.75,0.29,-1.33,-0.75,-0.18,-0.75,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0077...77",-0.84,0.29,-1.42,-0.84,-0.27,-0.84,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0078...78",-0.81,0.23,-1.26,-0.81,-0.35,-0.81,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0079...79",-1.02,0.23,-1.47,-1.02,-0.57,-1.02,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0080...80",-0.76,0.23,-1.21,-0.76,-0.32,-0.76,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0081...81",-0.98,0.23,-1.43,-0.98,-0.53,-0.98,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0082...82",-1.16,0.26,-1.68,-1.16,-0.65,-1.16,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0083...83",-0.43,0.27,-0.96,-0.43,0.09,-0.43,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0084...84",-0.38,0.26,-0.88,-0.38,0.12,-0.38,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0085...85",-0.64,0.24,-1.12,-0.64,-0.17,-0.64,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0086...86",-0.52,0.24,-0.99,-0.52,-0.04,-0.52,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0087...87",-1.1,0.26,-1.62,-1.1,-0.58,-1.1,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0088...88",-0.99,0.28,-1.53,-0.99,-0.45,-0.99,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0089...89",-0.57,0.26,-1.08,-0.57,-0.05,-0.57,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0090...90",-0.44,0.26,-0.95,-0.44,0.07,-0.44,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0091...91",-0.16,0.19,-0.54,-0.16,0.22,-0.16,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0092...92",-0.15,0.19,-0.53,-0.15,0.23,-0.15,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0093...93",-0.16,0.2,-0.55,-0.16,0.23,-0.16,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0094...94",-0.19,0.2,-0.57,-0.19,0.2,-0.19,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0095...95",0.2,0.23,-0.25,0.2,0.66,0.21,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0096...96",0.04,0.24,-0.42,0.04,0.5,0.04,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0097...97",-0.99,0.22,-1.43,-0.99,-0.56,-0.99,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0098...98",-1.12,0.22,-1.56,-1.12,-0.69,-1.12,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0099...99",-1.05,0.25,-1.54,-1.05,-0.56,-1.05,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0100...100",-0.67,0.22,-1.1,-0.67,-0.25,-0.67,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0101...101",-0.58,0.23,-1.03,-0.58,-0.14,-0.58,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0102...102",-0.78,0.22,-1.2,-0.78,-0.35,-0.78,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0103...103",-0.9,0.23,-1.35,-0.9,-0.46,-0.9,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0104...104",-0.42,0.25,-0.92,-0.42,0.07,-0.42,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0105...105",-1.11,0.25,-1.6,-1.11,-0.61,-1.11,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0106...106",-1.18,0.25,-1.67,-1.18,-0.69,-1.18,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0107...107",-0.49,0.24,-0.95,-0.49,-0.02,-0.49,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0108...108",-0.52,0.24,-0.98,-0.52,-0.05,-0.52,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0109...109",-0.78,0.2,-1.18,-0.78,-0.38,-0.78,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0110...110",-0.78,0.2,-1.18,-0.78,-0.38,-0.78,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0111...111",-0.7,0.21,-1.1,-0.7,-0.29,-0.7,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0112...112",-0.74,0.19,-1.12,-0.74,-0.35,-0.74,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0113...113",-0.74,0.19,-1.12,-0.74,-0.36,-0.74,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0114...114",-0.74,0.21,-1.15,-0.74,-0.32,-0.74,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0115...115",-0.27,0.23,-0.73,-0.27,0.18,-0.27,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0116...116",-0.41,0.23,-0.86,-0.41,0.03,-0.41,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0117...117",-0.61,0.2,-1,-0.61,-0.22,-0.61,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0118...118",-0.41,0.19,-0.78,-0.41,-0.04,-0.41,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0119...119",-0.43,0.19,-0.79,-0.43,-0.06,-0.43,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0120...120",-0.41,0.2,-0.8,-0.41,-0.03,-0.41,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0121...121",-0.92,0.19,-1.29,-0.92,-0.55,-0.92,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0122...122",-0.86,0.19,-1.22,-0.86,-0.49,-0.86,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0123...123",-0.78,0.21,-1.2,-0.78,-0.37,-0.78,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0124...124",-0.94,0.22,-1.37,-0.94,-0.5,-0.94,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0125...125",-0.86,0.19,-1.23,-0.86,-0.49,-0.86,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0126...126",-0.88,0.19,-1.24,-0.88,-0.51,-0.88,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0127...127",-1.02,0.19,-1.39,-1.02,-0.65,-1.02,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0128...128",-0.76,0.2,-1.16,-0.76,-0.37,-0.76,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0129...129",-0.74,0.21,-1.15,-0.74,-0.32,-0.74,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0130...130",-0.95,0.21,-1.36,-0.95,-0.54,-0.95,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0131...131",-0.92,0.22,-1.36,-0.92,-0.49,-0.92,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0132...132",-1,0.23,-1.44,-1,-0.55,-0.99,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0133...133",-1.28,0.27,-1.8,-1.28,-0.75,-1.28,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0134...134",-0.92,0.28,-1.46,-0.92,-0.38,-0.92,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0135...135",-1.09,0.26,-1.61,-1.09,-0.58,-1.09,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0136...136",-1.49,0.28,-2.04,-1.49,-0.95,-1.49,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0137...137",-0.85,0.26,-1.35,-0.85,-0.34,-0.85,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0138...138",-1.01,0.24,-1.49,-1.01,-0.53,-1.01,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0139...139",-1.16,0.25,-1.65,-1.16,-0.66,-1.16,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0140...140",-0.81,0.26,-1.32,-0.81,-0.3,-0.81,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0141...141",-1.35,0.27,-1.89,-1.35,-0.82,-1.35,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0142...142",-1.21,0.27,-1.74,-1.21,-0.68,-1.21,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0143...143",-0.98,0.28,-1.52,-0.98,-0.43,-0.98,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0144...144",-0.52,0.28,-1.07,-0.52,0.04,-0.52,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0145...145",-1.14,0.28,-1.69,-1.14,-0.59,-1.14,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0146...146",-1.21,0.28,-1.75,-1.21,-0.66,-1.21,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0147...147",-1.14,0.28,-1.68,-1.14,-0.59,-1.14,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0148...148",-1.22,0.28,-1.77,-1.22,-0.67,-1.22,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0149...149",-1.52,0.28,-2.07,-1.52,-0.98,-1.52,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0150...150",-1.54,0.28,-2.09,-1.54,-0.99,-1.54,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0151...151",-1.31,0.28,-1.86,-1.31,-0.76,-1.31,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0152...152",-1.4,0.28,-1.95,-1.4,-0.85,-1.4,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0153...153",-1.47,0.28,-2.02,-1.47,-0.92,-1.47,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0154...154",-0.92,0.27,-1.45,-0.92,-0.38,-0.92,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0155...155",-0.81,0.28,-1.36,-0.81,-0.27,-0.82,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0156...156",-1.18,0.28,-1.72,-1.18,-0.64,-1.18,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0157...157",-1.05,0.28,-1.6,-1.05,-0.49,-1.05,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0158...158",-0.5,0.27,-1.03,-0.5,0.04,-0.5,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0159...159",-0.52,0.28,-1.06,-0.52,0.02,-0.52,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0160...160",-0.58,0.29,-1.15,-0.58,-0.02,-0.58,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0161...161",-0.69,0.23,-1.14,-0.69,-0.24,-0.69,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0162...162",-0.65,0.23,-1.1,-0.65,-0.21,-0.65,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0163...163",-0.73,0.2,-1.13,-0.73,-0.32,-0.73,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0164...164",-0.79,0.2,-1.18,-0.79,-0.39,-0.79,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0165...165",-0.75,0.21,-1.16,-0.75,-0.33,-0.75,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0166...166",-0.11,0.28,-0.66,-0.11,0.45,-0.11,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0167...167",-0.58,0.25,-1.07,-0.58,-0.09,-0.58,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0168...168",-0.99,0.24,-1.46,-0.99,-0.52,-0.99,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0169...169",-0.83,0.24,-1.29,-0.83,-0.36,-0.83,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0170...170",-0.78,0.23,-1.24,-0.78,-0.33,-0.79,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0171...171",0.07,0.28,-0.49,0.07,0.62,0.07,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0172...172",-0.39,0.28,-0.95,-0.39,0.16,-0.39,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0173...173",-0.57,0.28,-1.13,-0.57,-0.03,-0.57,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0174...174",-0.47,0.28,-1.02,-0.47,0.07,-0.47,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0175...175",-0.38,0.26,-0.89,-0.38,0.13,-0.38,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0176...176",-0.22,0.26,-0.74,-0.22,0.29,-0.22,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0177...177",-0.32,0.27,-0.86,-0.32,0.21,-0.32,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0178...178",-0.68,0.29,-1.25,-0.68,-0.11,-0.68,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0179...179",-0.38,0.29,-0.95,-0.38,0.19,-0.38,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0180...180",-0.38,0.29,-0.96,-0.38,0.19,-0.38,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0181...181",-1.36,0.26,-1.87,-1.36,-0.85,-1.37,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0182...182",-1.19,0.26,-1.7,-1.19,-0.69,-1.2,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0183...183",0.1,0.28,-0.44,0.1,0.64,0.1,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0184...184",0.21,0.28,-0.34,0.21,0.77,0.22,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0185...185",-0.52,0.27,-1.06,-0.52,0.01,-0.52,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0186...186",-0.76,0.28,-1.31,-0.76,-0.21,-0.76,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0187...187",-0.24,0.29,-0.82,-0.24,0.33,-0.24,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0188...188",-1.17,0.29,-1.74,-1.17,-0.59,-1.17,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0189...189",-1.04,0.29,-1.61,-1.04,-0.47,-1.04,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0190...190",-0.58,0.29,-1.15,-0.58,-0.02,-0.58,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0191...191",-1.21,0.23,-1.66,-1.21,-0.76,-1.21,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0192...192",-1.51,0.25,-2,-1.51,-1.01,-1.51,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0193...193",-1.16,0.22,-1.58,-1.16,-0.74,-1.16,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0194...194",-1.31,0.22,-1.74,-1.31,-0.88,-1.31,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0195...195",-0.94,0.26,-1.45,-0.94,-0.43,-0.94,"Phylogenetic+Spatial: local+L1 speakers (linear)"
